TimeGenerated,Computer,Account,IpAddress,LogonType,FailureReason
2025-06-21T03:14:49.2468977Z,windows-vm,attack-vm\ZZZZZZZZZZZ,20.5.50.76,3,%%2313
2025-06-21T03:14:49.8640175Z,windows-vm,attack-vm\ZZZZZZZZZZZ,20.5.50.76,3,%%2313
2025-06-21T03:14:50.4611867Z,windows-vm,attack-vm\ZZZZZZZZZZZ,20.5.50.76,3,%%2313
2025-06-21T03:14:51.0436188Z,windows-vm,attack-vm\ZZZZZZZZZZZ,20.5.50.76,3,%%2313
2025-06-21T03:14:51.6404716Z,windows-vm,attack-vm\ZZZZZZZZZZZ,20.5.50.76,3,%%2313
2025-06-21T03:14:52.2226498Z,windows-vm,attack-vm\ZZZZZZZZZZZ,20.5.50.76,3,%%2313
2025-06-21T03:14:52.8113686Z,windows-vm,attack-vm\ZZZZZZZZZZZ,20.5.50.76,3,%%2313
2025-06-21T03:14:53.3935902Z,windows-vm,attack-vm\ZZZZZZZZZZZ,20.5.50.76,3,%%2313
2025-06-21T03:14:53.9818925Z,windows-vm,attack-vm\ZZZZZZZZZZZ,20.5.50.76,3,%%2313
2025-06-21T03:14:54.5519282Z,windows-vm,attack-vm\ZZZZZZZZZZZ,20.5.50.76,3,%%2313
2025-06-21T03:14:55.1403101Z,windows-vm,attack-vm\ZZZZZZZZZZZ,20.5.50.76,3,%%2313
2025-06-21T03:14:55.7239383Z,windows-vm,attack-vm\ZZZZZZZZZZZ,20.5.50.76,3,%%2313
2025-06-21T03:14:56.3012212Z,windows-vm,attack-vm\ZZZZZZZZZZZ,20.5.50.76,3,%%2313
2025-06-21T03:14:56.8716243Z,windows-vm,attack-vm\ZZZZZZZZZZZ,20.5.50.76,3,%%2313
2025-06-21T03:14:57.4663153Z,windows-vm,attack-vm\ZZZZZZZZZZZ,20.5.50.76,3,%%2313
2025-06-21T03:14:58.0363211Z,windows-vm,attack-vm\ZZZZZZZZZZZ,20.5.50.76,3,%%2313
2025-06-21T03:14:58.6118085Z,windows-vm,attack-vm\ZZZZZZZZZZZ,20.5.50.76,3,%%2313
2025-06-21T03:14:59.1944885Z,windows-vm,attack-vm\ZZZZZZZZZZZ,20.5.50.76,3,%%2313
2025-06-21T03:14:59.7827222Z,windows-vm,attack-vm\ZZZZZZZZZZZ,20.5.50.76,3,%%2313
2025-06-21T03:15:00.3528316Z,windows-vm,attack-vm\ZZZZZZZZZZZ,20.5.50.76,3,%%2313
2025-06-21T03:19:45.1263739Z,windows-vm,\windows,2.57.122.126,3,%%2313
2025-06-21T03:23:47.5806728Z,windows-vm,\ADMINISTRATOR,203.151.83.49,3,%%2313
2025-06-18T04:05:10.7293831Z,windows-vm,\Administrator,137.97.249.22,3,%%2313
2025-06-20T03:16:55.7116797Z,windows-vm,\windows,2.57.122.158,3,%%2313
2025-06-20T03:40:28.2365196Z,windows-vm,\windows,2.57.122.126,3,%%2313
2025-06-20T04:18:24.4276601Z,windows-vm,WORKGROUP\admin,103.199.211.245,3,%%2313
2025-06-20T04:18:25.5993697Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:25.6169568Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:25.6197147Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:25.6232882Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:25.6296565Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:25.631691Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:26.6730202Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:26.708535Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:26.725705Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:26.7389149Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:26.7533336Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:26.7720763Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:27.7895927Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:27.8157512Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:27.8508556Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:27.8815224Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:27.8833172Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:27.8856195Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:28.8982246Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:28.9258706Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:28.956674Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:28.9730945Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:29.0034797Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:29.0184178Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:29.0355864Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:30.0373014Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:30.0667107Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:30.0815649Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:30.1129905Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:30.1285834Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:30.1600745Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:31.1426196Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:31.180581Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:31.2004675Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
2025-06-20T04:18:31.2144285Z,windows-vm,WORKGROUP\Administrator,103.199.211.245,3,%%2313
