IpAddress,Count
183.141.116.149,14702
2.186.14.249,3105
197.156.64.234,3090
122.165.219.142,2802
211.237.2.246,2687
118.69.37.51,2355
86.122.186.47,2349
103.147.33.53,1480
27.102.71.18,1289
94.26.229.189,1183
80.249.131.239,1182
92.53.65.234,1173
135.235.152.210,636
39.98.174.126,616
92.53.90.248,589
45.92.176.178,587
45.92.177.247,580
82.202.197.36,576
94.26.249.208,560
82.148.20.48,553
37.48.249.144,552
77.223.121.121,549
92.53.90.243,537
103.199.211.245,514
39.162.60.206,514
109.101.109.73,499
80.66.88.30,496
133.18.164.37,460
36.67.6.27,365
38.11.194.60,363
37.228.137.183,346
181.113.226.34,312
81.214.22.37,296
212.84.174.78,292
181.188.203.147,283
47.238.76.225,256
20.5.50.76,212
212.227.161.232,196
202.59.15.125,195
134.119.180.102,192
136.239.223.231,153
23.27.48.115,119
42.96.18.3,117
141.164.204.161,113
113.45.51.227,105
169.239.104.212,90
36.71.204.40,90
106.51.126.158,72
161.97.184.179,72
36.92.10.171,72
