IpAddress,Count
183.141.116.149,14702
2.186.14.249,3105
197.156.64.234,3090
122.165.219.142,2802
211.237.2.246,2687
118.69.37.51,2355
86.122.186.47,2349
103.147.33.53,1480
27.102.71.18,1289
94.26.229.189,1183
80.249.131.239,1182
92.53.65.234,1173
135.235.152.210,636
39.98.174.126,616
92.53.90.248,589
45.92.176.178,587
45.92.177.247,580
82.202.197.36,576
94.26.249.208,560
82.148.20.48,553
37.48.249.144,552
77.223.121.121,549
92.53.90.243,537
103.199.211.245,514
39.162.60.206,514
109.101.109.73,499
80.66.88.30,496
133.18.164.37,460
36.67.6.27,365
38.11.194.60,363
37.228.137.183,346
181.113.226.34,312
81.214.22.37,296
212.84.174.78,292
181.188.203.147,283
47.238.76.225,256
20.5.50.76,212
212.227.161.232,196
202.59.15.125,195
134.119.180.102,192
136.239.223.231,153
23.27.48.115,119
42.96.18.3,117
141.164.204.161,113
113.45.51.227,105
36.71.204.40,90
169.239.104.212,90
36.92.10.171,72
107.150.0.35,72
129.205.102.181,72
106.51.126.158,72
158.220.125.2,72
117.33.163.247,72
41.138.161.118,72
161.97.184.179,72
151.242.37.35,57
137.97.249.22,49
2.57.122.126,42
193.32.162.95,35
193.32.162.44,35
80.248.67.63,28
106.150.214.39,27
2.57.122.158,25
2.57.122.89,23
162.244.210.216,22
76.191.100.20,22
202.61.249.159,22
2.57.122.80,21
5.161.180.34,16
141.94.77.53,15
149.28.91.23,15
63.250.59.176,15
195.26.253.27,14
85.215.191.191,14
138.199.166.88,13
198.204.228.213,13
5.78.103.167,13
107.150.52.195,13
31.43.100.170,12
107.167.81.4,12
154.22.5.84,12
66.235.172.124,12
209.126.1.171,12
195.20.202.4,12
125.25.89.177,11
85.188.2.31,10
159.203.177.123,10
107.150.52.197,10
165.140.86.58,10
154.92.23.50,10
107.150.52.198,9
103.212.137.193,9
199.204.161.51,8
80.94.95.203,8
154.115.76.163,8
148.113.194.79,8
107.150.52.196,8
193.38.248.150,8
85.215.228.127,8
38.255.40.211,7
128.140.42.204,7
172.81.128.225,7
59.120.219.141,7
142.202.189.109,7
93.127.126.194,7
41.59.227.213,7
85.239.232.24,6
107.178.106.123,6
104.234.124.106,6
196.189.89.247,6
104.156.254.65,6
157.254.237.77,6
38.255.44.84,6
212.22.161.179,6
74.48.162.17,5
198.46.144.205,5
118.193.77.87,5
49.13.66.77,5
154.53.45.130,5
37.99.144.114,5
38.68.46.228,5
38.147.185.143,5
104.207.135.172,5
179.43.174.194,5
195.178.110.98,4
83.168.68.29,4
103.249.201.64,4
38.255.63.85,4
2.57.121.247,4
104.238.57.235,4
103.197.25.36,4
156.200.101.5,4
194.150.104.149,4
172.171.196.193,4
45.43.11.203,4
104.237.139.225,3
193.108.56.160,3
107.148.176.80,3
138.199.153.102,3
104.234.124.155,3
38.210.210.44,3
113.11.231.111,3
38.255.59.5,2
118.193.40.29,2
106.146.31.188,2
185.82.199.0,2
197.210.194.240,2
103.39.251.243,2
62.146.169.155,2
217.160.189.121,2
149.28.113.7,2
75.119.151.68,2
162.210.245.77,2
35.216.196.110,1
75.201.130.202,1
155.254.30.153,1
154.212.141.162,1
203.151.83.49,1
118.194.251.246,1
52.178.90.223,1
3.101.65.45,1
108.170.20.82,1
40.112.234.106,1
66.228.41.69,1
183.82.108.211,1
47.250.81.129,1
66.235.169.180,1
194.180.49.127,1
167.71.23.114,1
179.60.146.30,1
93.174.95.106,1
154.212.141.192,1
165.140.86.45,1
103.115.196.139,1
124.221.51.112,1
45.147.26.171,1
188.228.35.144,1
35.216.215.72,1
38.11.197.60,1
134.209.219.73,1
46.105.132.55,1
139.144.169.114,1
35.216.149.14,1
193.24.123.42,1
